data type,model,init method,prune ratio,restore,number,best accuracy
cifar10,fc3_wobn,xavier,0.00,0,3,54.849998474121094
cifar10,fc3_wobn,kaiming_out,0.00,0,3,10.0
cifar10,fc3_wobn,xavier,0.00,0,4,55.369998931884766
cifar10,fc3_wobn,kaiming_in,0.00,0,3,55.13999938964844
cifar10,fc3_wobn,xavier,0.00,1,2,56.220001220703125
cifar10,fc3_wobn,kaiming_in,0.00,1,2,56.209999084472656
cifar10,fc3_wobn,kaiming_in,0.00,0,4,56.13999938964844
cifar10,fc3_wobn,kaiming_out,0.00,0,5,10.0
cifar10,fc3_wobn,kaiming_in,0.00,0,1,55.84000015258789
cifar10,fc3_wobn,kaiming_out,0.00,1,2,56.59000015258789
cifar10,fc3_wobn,kaiming_out,0.00,1,1,55.459999084472656
cifar10,fc3_wobn,kaiming_out,0.00,1,5,55.900001525878906
cifar10,fc3_wobn,kaiming_in,0.00,1,4,55.599998474121094
cifar10,fc3_wobn,xavier,0.00,1,5,55.380001068115234
cifar10,fc3_wobn,xavier,0.00,1,4,55.83000183105469
cifar10,fc3_wobn,xavier,0.00,1,1,55.68000030517578
cifar10,fc3_wobn,xavier,0.00,0,2,55.4900016784668
cifar10,fc3_wobn,kaiming_in,0.00,1,5,55.689998626708984
cifar10,fc3_wobn,xavier,0.00,0,5,54.369998931884766
cifar10,fc3_wobn,kaiming_out,0.00,1,3,54.88999938964844
cifar10,fc3_wobn,kaiming_in,0.00,0,5,55.20000076293945
cifar10,fc3_wobn,kaiming_out,0.00,0,4,10.0
cifar10,fc3_wobn,kaiming_in,0.00,1,3,56.09000015258789
cifar10,fc3_wobn,kaiming_out,0.00,0,1,10.0
cifar10,fc3_wobn,kaiming_out,0.00,0,2,10.0
cifar10,fc3_wobn,kaiming_out,0.00,1,4,55.349998474121094
cifar10,fc3_wobn,kaiming_in,0.00,1,1,55.34000015258789
cifar10,fc3_wobn,xavier,0.00,0,1,55.279998779296875
cifar10,fc3_wobn,kaiming_in,0.00,0,2,55.43000030517578
cifar10,fc3_wobn,xavier,0.00,1,3,56.060001373291016
cifar10,fc3,xavier,0.00,0,3,66.52999877929688
cifar10,fc3,kaiming_out,0.00,3,3,66.63999938964844
cifar10,fc3,kaiming_out,0.00,0,3,65.70999908447266
cifar10,fc3,kaiming_out,0.00,2,3,65.68000030517578
cifar10,fc3,xavier,0.00,0,4,66.27999877929688
cifar10,fc3,kaiming_in,0.00,0,3,66.1500015258789
cifar10,fc3,xavier,0.00,1,2,66.44999694824219
cifar10,fc3,kaiming_in,0.00,1,2,66.04000091552734
cifar10,fc3,kaiming_in,0.00,0,4,66.80999755859375
cifar10,fc3,kaiming_out,0.00,0,5,66.12999725341797
cifar10,fc3,kaiming_out,0.00,3,5,66.87000274658203
cifar10,fc3,xavier,0.00,3,4,66.83000183105469
cifar10,fc3,kaiming_in,0.00,0,1,66.0999984741211
cifar10,fc3,kaiming_in,0.00,2,3,66.91999816894531
cifar10,fc3,kaiming_out,0.00,1,2,66.62000274658203
cifar10,fc3,xavier,0.00,2,2,66.72000122070312
cifar10,fc3,xavier,0.00,3,5,66.51000213623047
cifar10,fc3,kaiming_out,0.00,1,1,66.55000305175781
cifar10,fc3,kaiming_out,0.00,1,5,66.30999755859375
cifar10,fc3,xavier,0.00,3,3,66.56999969482422
cifar10,fc3,kaiming_out,0.00,2,4,66.20999908447266
cifar10,fc3,kaiming_in,0.00,1,4,66.94999694824219
cifar10,fc3,xavier,0.00,1,5,66.79000091552734
cifar10,fc3,xavier,0.00,1,4,66.43000030517578
cifar10,fc3,xavier,0.00,1,1,66.41999816894531
cifar10,fc3,xavier,0.00,0,2,66.37000274658203
cifar10,fc3,kaiming_out,0.00,3,2,66.37999725341797
cifar10,fc3,kaiming_in,0.00,1,5,66.19999694824219
cifar10,fc3,xavier,0.00,2,4,66.19000244140625
cifar10,fc3,xavier,0.00,0,5,66.1500015258789
cifar10,fc3,kaiming_out,0.00,1,3,66.52999877929688
cifar10,fc3,xavier,0.00,2,3,66.36000061035156
cifar10,fc3,xavier,0.00,2,1,66.43000030517578
cifar10,fc3,kaiming_in,0.00,0,5,66.95999908447266
cifar10,fc3,xavier,0.00,2,5,66.68000030517578
cifar10,fc3,kaiming_in,0.00,3,3,66.5199966430664
cifar10,fc3,kaiming_out,0.00,0,4,66.11000061035156
cifar10,fc3,kaiming_in,0.00,3,2,66.30999755859375
cifar10,fc3,kaiming_in,0.00,1,3,66.45999908447266
cifar10,fc3,kaiming_out,0.00,2,5,65.94999694824219
cifar10,fc3,kaiming_out,0.00,3,1,66.97000122070312
cifar10,fc3,kaiming_out,0.00,2,1,66.08000183105469
cifar10,fc3,kaiming_in,0.00,2,2,66.4800033569336
cifar10,fc3,kaiming_out,0.00,2,2,66.27999877929688
cifar10,fc3,kaiming_in,0.00,3,1,66.91000366210938
cifar10,fc3,kaiming_out,0.00,3,4,66.75
cifar10,fc3,kaiming_in,0.00,2,4,67.22000122070312
cifar10,fc3,kaiming_out,0.00,0,1,66.27999877929688
cifar10,fc3,kaiming_out,0.00,0,2,66.12000274658203
cifar10,fc3,kaiming_in,0.00,3,4,66.55999755859375
cifar10,fc3,kaiming_in,0.00,3,5,66.63999938964844
cifar10,fc3,kaiming_out,0.00,1,4,66.87999725341797
cifar10,fc3,kaiming_in,0.00,2,1,66.5999984741211
cifar10,fc3,kaiming_in,0.00,1,1,66.37999725341797
cifar10,fc3,xavier,0.00,0,1,66.58000183105469
cifar10,fc3,xavier,0.00,3,2,66.97000122070312
cifar10,fc3,kaiming_in,0.00,0,2,66.7699966430664
cifar10,fc3,kaiming_in,0.00,2,5,66.68000030517578
cifar10,fc3,xavier,0.00,1,3,66.87999725341797
cifar10,fc3,xavier,0.00,3,1,66.4800033569336
cifar10,conv3_wobn,xavier,0.00,0,3,72.18000030517578
cifar10,conv3_wobn,xavier,0.00,1,6,74.83000183105469
cifar10,conv3_wobn,kaiming_out,0.00,0,3,10.0
cifar10,conv3_wobn,xavier,0.00,0,4,74.47000122070312
cifar10,conv3_wobn,kaiming_in,0.00,0,3,10.0
cifar10,conv3_wobn,kaiming_in,0.00,1,2,73.38999938964844
cifar10,conv3_wobn,kaiming_in,0.00,0,4,61.77000045776367
cifar10,conv3_wobn,kaiming_out,0.00,0,5,10.010000228881836
cifar10,conv3_wobn,xavier,0.00,1,7,74.51000213623047
cifar10,conv3_wobn,kaiming_in,0.00,0,1,72.6500015258789
cifar10,conv3_wobn,kaiming_out,0.00,1,2,71.33000183105469
cifar10,conv3_wobn,kaiming_out,0.00,1,1,72.83000183105469
cifar10,conv3_wobn,kaiming_out,0.00,1,5,73.52999877929688
cifar10,conv3_wobn,kaiming_in,0.00,1,4,73.7699966430664
cifar10,conv3_wobn,xavier,0.00,1,5,74.66000366210938
cifar10,conv3_wobn,xavier,0.00,1,4,74.5999984741211
cifar10,conv3_wobn,xavier,0.00,0,2,74.0999984741211
cifar10,conv3_wobn,kaiming_in,0.00,1,5,74.2699966430664
cifar10,conv3_wobn,xavier,0.00,0,5,71.4800033569336
cifar10,conv3_wobn,kaiming_out,0.00,1,3,74.33000183105469
cifar10,conv3_wobn,kaiming_in,0.00,0,5,10.0
cifar10,conv3_wobn,kaiming_out,0.00,0,4,10.029999732971191
cifar10,conv3_wobn,kaiming_in,0.00,1,3,72.61000061035156
cifar10,conv3_wobn,kaiming_out,0.00,0,1,10.0
cifar10,conv3_wobn,kaiming_out,0.00,0,2,10.0
cifar10,conv3_wobn,kaiming_out,0.00,1,4,73.37000274658203
cifar10,conv3_wobn,kaiming_in,0.00,1,1,10.0
cifar10,conv3_wobn,xavier,0.00,0,1,72.83999633789062
cifar10,conv3_wobn,kaiming_in,0.00,0,2,67.20999908447266
cifar10,conv3_wobn,xavier,0.00,1,3,73.69000244140625
cifar10,conv3,xavier,0.00,0,3,71.79000091552734
cifar10,conv3,kaiming_out,0.00,3,3,76.12999725341797
cifar10,conv3,kaiming_out,0.00,0,3,68.43000030517578
cifar10,conv3,kaiming_out,0.00,2,3,62.7400016784668
cifar10,conv3,xavier,0.00,0,4,69.08000183105469
cifar10,conv3,kaiming_in,0.00,0,3,69.0
cifar10,conv3,xavier,0.00,1,2,68.51000213623047
cifar10,conv3,kaiming_in,0.00,1,2,75.16000366210938
cifar10,conv3,kaiming_in,0.00,0,4,72.83000183105469
cifar10,conv3,kaiming_out,0.00,0,5,63.380001068115234
cifar10,conv3,kaiming_out,0.00,3,5,76.47000122070312
cifar10,conv3,xavier,0.00,3,4,76.16000366210938
cifar10,conv3,kaiming_in,0.00,0,1,68.86000061035156
cifar10,conv3,kaiming_in,0.00,2,3,76.43000030517578
cifar10,conv3,kaiming_out,0.00,1,2,55.779998779296875
cifar10,conv3,xavier,0.00,2,2,76.31999969482422
cifar10,conv3,xavier,0.00,3,5,76.4000015258789
cifar10,conv3,kaiming_out,0.00,1,1,67.48999786376953
cifar10,conv3,kaiming_out,0.00,1,5,71.18000030517578
cifar10,conv3,xavier,0.00,3,3,76.62999725341797
cifar10,conv3,kaiming_out,0.00,2,4,64.43000030517578
cifar10,conv3,kaiming_in,0.00,1,4,68.6500015258789
cifar10,conv3,xavier,0.00,1,5,71.58999633789062
cifar10,conv3,xavier,0.00,1,4,70.69000244140625
cifar10,conv3,xavier,0.00,1,1,63.209999084472656
cifar10,conv3,xavier,0.00,0,2,73.19000244140625
cifar10,conv3,kaiming_out,0.00,3,2,76.33999633789062
cifar10,conv3,kaiming_in,0.00,1,5,70.13999938964844
cifar10,conv3,xavier,0.00,2,4,76.16000366210938
cifar10,conv3,xavier,0.00,0,5,68.75
cifar10,conv3,kaiming_out,0.00,1,3,65.55000305175781
cifar10,conv3,xavier,0.00,2,3,76.68000030517578
cifar10,conv3,xavier,0.00,2,1,76.2699966430664
cifar10,conv3,kaiming_in,0.00,0,5,71.16000366210938
cifar10,conv3,xavier,0.00,2,5,76.04000091552734
cifar10,conv3,kaiming_in,0.00,3,3,76.62000274658203
cifar10,conv3,kaiming_out,0.00,0,4,67.95999908447266
cifar10,conv3,kaiming_in,0.00,3,2,76.4800033569336
cifar10,conv3,kaiming_in,0.00,1,3,69.95999908447266
cifar10,conv3,kaiming_out,0.00,2,5,64.2300033569336
cifar10,conv3,kaiming_out,0.00,3,1,76.30000305175781
cifar10,conv3,kaiming_out,0.00,2,1,69.20999908447266
cifar10,conv3,kaiming_in,0.00,2,2,76.33000183105469
cifar10,conv3,kaiming_out,0.00,2,2,66.83999633789062
cifar10,conv3,kaiming_in,0.00,3,1,76.2699966430664
cifar10,conv3,kaiming_out,0.00,3,4,76.61000061035156
cifar10,conv3,kaiming_in,0.00,2,4,76.08000183105469
cifar10,conv3,kaiming_out,0.00,0,1,66.63999938964844
cifar10,conv3,kaiming_out,0.00,0,2,68.05000305175781
cifar10,conv3,kaiming_in,0.00,3,4,75.4000015258789
cifar10,conv3,kaiming_in,0.00,3,5,76.44000244140625
cifar10,conv3,kaiming_out,0.00,1,4,70.20999908447266
cifar10,conv3,kaiming_in,0.00,2,1,76.23999786376953
cifar10,conv3,kaiming_in,0.00,1,1,70.0999984741211
cifar10,conv3,xavier,0.00,0,1,71.91000366210938
cifar10,conv3,xavier,0.00,3,2,76.33000183105469
cifar10,conv3,kaiming_in,0.00,0,2,68.37000274658203
cifar10,conv3,kaiming_in,0.00,2,5,75.62999725341797
cifar10,conv3,xavier,0.00,1,3,73.19999694824219
cifar10,conv3,xavier,0.00,3,1,76.62999725341797
